IdAlumno,Nivel_academico,Facultad,Grado,Sede,Sexo,Promedio_final,Creditos_acumulados,Anio_matricula,Anio_tramite,Tipo_estudio,Fecha_egreso,Anio_egreso,Semestre_egreso
1,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Femenino,16.97,72,2017,2022,REGULAR,2022-01-04,2022,20221
2,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,17.07,72,2017,2021,ITINERANTE,2021-06-25,2021,20211
3,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,16.49,72,2017,2022,REGULAR,2022-06-15,2022,20221
4,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,16.13,72,2017,2022,REGULAR,2022-06-22,2022,20221
5,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Femenino,17.07,72,2017,2022,ITINERANTE,2022-11-15,2022,20222
6,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,17.39,72,2017,2021,ITINERANTE,2021-11-24,2021,20212
7,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,18.04,72,2017,2022,REGULAR,2022-03-17,2022,20221
8,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,17.4,72,2017,2022,ITINERANTE,2022-03-04,2022,20221
9,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Femenino,13.0,72,2017,2022,REGULAR,2022-06-16,2022,20221
10,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Masculino,17.26,72,2017,2021,ITINERANTE,2021-12-17,2021,20212
11,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Femenino,18.14,72,2017,2020,REGULAR,2020-11-12,2020,20202
12,POSGRADO,ESCUELA DE POSGRADO WALTER PEINADO,EGRESADO,LA MOLINA,Femenino,16.94,72,2017,2023,ITINERANTE,2023-04-26,2023,20231
